name	priority	interruptable	schedulable	ruleOrder	ruleType	andOrConnector	notConnector	ruleActionText
a1	38	1	1	0	R	0	0	When:  At 15:00
a1	38	1	1	1	R	0	0	When: Repeat every: 1 days
a1	38	1	1	2	R	0	0	When: Remind me/Reset after 1 days 
a1	38	1	1	3	R	0	0	700a1 is true
a1	38	1	1	4	A	0	0	::0::Care-O-Bot 3.2 says 'Whats up' and wait for completion
a1	38	1	1	5	A	0	0	SET ::700::a1 TO false
a2	37	1	1	0	R	0	0	When:  At 15:20
a2	37	1	1	1	R	0	0	When: Repeat every: 1 days
a2	37	1	1	2	R	0	0	When: Remind me/Reset after 1 days 
a2	37	1	1	3	R	0	0	701a2 is true
a2	37	1	1	4	A	0	0	::0::Care-O-Bot 3.2 says 'Thats not very nice' and wait for completion
a2	37	1	1	5	A	0	0	SET ::701::a2 TO false
a3	36	1	1	0	R	0	0	When: Repeat every: 1 days
a3	36	1	1	1	R	0	0	When: Remind me/Reset after 1 days 
a3	36	1	1	2	R	0	0	702a3 is true
a3	36	1	1	3	A	0	0	::0::Care-O-Bot 3.2 says 'Ok have it your way' and wait for completion
a3	36	1	1	4	A	0	0	Make the robot nod (nod)
a3	36	1	1	5	A	0	0	SET ::702::a3 TO false
AlertFridge	21	1	1	0	R	0	0	Fridge Freezer Wattage > 30 AND has been in this state for more than 600 seconds
AlertFridge	21	1	1	4	R	0	0	::506:: fridgeAlert is notGiven
AlertFridge	21	1	1	8	A	0	0	move ::0::Care-O-Bot 3.2 to ::999:: Current user Location and wait for completion
AlertFridge	21	1	1	9	A	0	0	::0::Care-O-Bot 3.2 says 'The fridge door is open!'
AlertFridge	21	1	1	12	A	0	0	SET ::506::fridgeAlert TO  given
answerdoorbell	30	1	1	0	R	0	0	When: The doorbell has rung (DoorbellRang)
answerdoorbell	30	1	1	1	R	0	0	When: Remind me/Reset after 1 minutes 
answerdoorbell	30	1	1	2	R	0	0	703answerdoorbell is true
answerdoorbell	30	1	1	3	A	0	0	Make the robot come to wherever I am (comeToMe)
answerdoorbell	30	1	1	4	A	0	0	Make the robot nod (nod)
answerdoorbell	30	1	1	5	A	0	0	::0::Care-O-Bot 3.2 says 'doorbell has rung' and wait for completion
answerdoorbell	30	1	1	6	A	0	0	SET ::703::answerdoorbell TO false
attractAttention	0	0	0	0	A	0	0	Turn light on ::3::Care-O-Bot 3.6 to  red
attractAttention	0	0	0	15	A	0	0	move torso on ::3::Care-O-Bot 3.6 to shake
attractAttention	0	0	0	16	A	0	0	Turn light on ::3::Care-O-Bot 3.6 to  green
attractAttention	0	0	0	17	A	0	0	Wait for 0.02 seconds on ::3::Care-O-Bot 3.6
attractAttention	0	0	0	18	A	0	0	Turn light on ::3::Care-O-Bot 3.6 to  yellow
attractAttention	0	0	0	19	A	0	0	Wait for 0.02 seconds on ::3::Care-O-Bot 3.6
attractAttention	0	0	0	21	A	0	0	Wait for 0.02 seconds on ::3::Care-O-Bot 3.6
attractAttention	0	0	0	22	A	0	0	Turn light on ::3::Care-O-Bot 3.6 to  white
attractAttention	0	0	0	23	A	0	0	Wait for 0.02 seconds on ::3::Care-O-Bot 3.6
basicGUI	0	0	0	0	A	0	0	Set expression on ::3::Care-O-Bot 3.6 to basic
basicGUI	0	0	0	1	A	0	0	SET ::516::currentGUIexpression TO  Basic
checkFridge	30	1	1	0	R	0	0	When: The fridge has been open or the kettle or dishwasher have been on for 5 mins (frgOnFor:5:)
checkFridge	30	1	1	1	R	0	0	719checkFridge is true
checkFridge	30	1	1	2	A	0	0	Send the robot to the LivingRoom::2::, lowering tray if possible (gotoLivingRoom::2::)
checkFridge	30	1	1	3	A	0	0	::0::Care-O-Bot 3.2 says 'The fridge door is open!' and wait for completion
checkFridge	30	1	1	4	A	0	0	SET ::719::checkFridge TO false
checkKettle	50	1	0	0	R	0	0	Kettle is Off AND has been in this state for more than 120 seconds
checkKettle	50	1	0	3	R	0	0	::505:: UserToldToDrink is False
checkKettle	50	1	0	6	R	0	0	::504:: userNeedsDrink is False
checkKettle	50	1	0	8	A	0	0	SET ::504::userNeedsDrink TO  True
comeToMe	0	0	0	0	A	0	0	Turn light on ::0::Care-O-Bot 3.2 to  white and wait for completion
comeToMe	0	0	0	1	A	0	0	move ::0::Care-O-Bot 3.2 to ::999:: Current user Location
comeToMe	0	0	0	2	A	0	0	Turn light on ::0::Care-O-Bot 3.2 to  yellow and wait for completion
gotoAlternativUnload	0	0	0	0	A	0	0	Turn light on ::3::Care-O-Bot 3.6 to  yellow
gotoAlternativUnload	0	0	0	3	A	0	0	move tray on ::3::Care-O-Bot 3.6 to Lowered and wait for completion
gotoAlternativUnload	0	0	0	6	A	0	0	move ::3::Care-O-Bot 3.6 to ::612:: Alternative Table Unload in the ZUYD Apartment and wait for completion
gotoAlternativUnload	0	0	0	7	A	0	0	Turn light on ::3::Care-O-Bot 3.6 to  white
gotoCentralLocation	0	0	0	0	A	0	0	Turn light on ::3::Care-O-Bot 3.6 to  yellow
gotoCentralLocation	0	0	0	1	A	0	0	Execute sequence 'lowerTray' on ::3::Care-O-Bot 3.6
gotoCentralLocation	0	0	0	2	A	0	0	move ::3::Care-O-Bot 3.6 to ::613:: Apartment Central in the ZUYD Apartment and wait for completion
gotoCentralLocation	0	0	0	3	A	0	0	Turn light on ::3::Care-O-Bot 3.6 to  white
gotoCentralLocation-SET	0	0	0	0	A	0	0	SET ::503::goto TO  CentralLocation
gotoCentralLocationCondition	91	0	1	1	R	0	0	::503:: goto is CentralLocation
gotoCentralLocationCondition	91	0	1	2	A	0	0	Execute sequence 'gotoCentralLocation' on ::3::Care-O-Bot 3.6
gotoCentralLocationCondition	91	0	1	3	A	0	0	SET ::503::goto TO  Null
gotoChargingStation	0	0	0	0	A	0	0	Turn light on ::3::Care-O-Bot 3.6 to  yellow
gotoChargingStation	0	0	0	2	A	0	0	Execute sequence 'lowerTray' on ::3::Care-O-Bot 3.6
gotoChargingStation	0	0	0	3	A	0	0	move ::3::Care-O-Bot 3.6 to ::610:: Charging Position in the ZUYD Apartment and wait for completion
gotoChargingStation	0	0	0	5	A	0	0	Turn light on ::3::Care-O-Bot 3.6 to  white
gotoChargingStation-SET 0 0 0 0 A 0 0 SET ::503::goto TO ChargingStation
gotoChargingStationCondition	90	0	1	4	R	0	0	::503:: goto is ChargingStation
gotoChargingStationCondition	90	0	1	5	A	0	0	Execute sequence 'gotoChargingStation' on ::3::Care-O-Bot 3.6
gotoChargingStationCondition	90	0	1	7	A	0	0	SET ::503::goto TO  Null
gotoCurrentUserLocation	0	0	0	0	A	0	0	Turn light on ::3::Care-O-Bot 3.6 to  yellow
gotoCurrentUserLocation	0	0	0	1	A	0	0	Execute sequence 'lowerTray' on ::3::Care-O-Bot 3.6
gotoCurrentUserLocation	0	0	0	3	A	0	0	move ::3::Care-O-Bot 3.6 to ::999:: Current user Location and wait for completion
gotoCurrentUserLocation	0	0	0	4	A	0	0	Turn light on ::3::Care-O-Bot 3.6 to  white
gotoCurrentUserLocation-SET	0	0	0	2	A	0	0	SET ::503::goto TO  CurrentUserLocation
